result,c1,c2,c3,c4,c5
Win,Gnar,Blitzcrank,Lulu,Xayah,Gnar
Win,Xin Zhao,Rakan,Jhin,Kassadin,Teemo
Win,Kai'Sa,Soraka,Lulu,Yasuo,Ezreal
Win,Renekton,Alistar,Rek'Sai,Fizz,Ezreal
Win,Karma,Lulu,Camille,Singed,Jax
Win,Ezreal,Ekko,Taliyah,Gangplank,Taliyah
Win,Jhin,Camille,Thresh,Nidalee,Taliyah
Win,Graves,Lucian,Janna,Zoe,Ornn
Win,Zilean,Ziggs,Jayce,LeBlanc,Yasuo
Win,Ezreal,Aatrox,Alistar,Camille,Kennen
Win,Xin Zhao,Leona,Sivir,LeBlanc,Ashe
Win,Camille,Nocturne,Zed,Lucian,LeBlanc
Win,Rakan,Dr. Mundo,Xayah,Lee Sin,LeBlanc
Win,Lissandra,Ezreal,Aatrox,Karma,Jax
Win,Xin Zhao,Swain,Soraka,Kai'Sa,Zyra
Win,Ezreal,Illaoi,Lee Sin,Yasuo,Xayah
Win,Singed,Yasuo,Rakan,Camille,Xayah
Win,Swain,LeBlanc,Morgana,Olaf,Vayne
Win,Taliyah,Lucian,Alistar,Ryze,Irelia
Win,Kled,Xin Zhao,Thresh,Draven,Karma
Win,Rek'Sai,Kai'Sa,Vladimir,Swain,Karma
Win,Swain,Rek'Sai,Lucian,Irelia,Zoe
Win,Trundle,Renekton,Varus,Leona,Zoe
Win,Cassiopeia,Lee Sin,Singed,Kai'Sa,Morgana
Win,Xayah,Soraka,Yasuo,LeBlanc,Draven
Win,Viktor,Illaoi,Braum,Brand,Draven
Win,Morgana,Irelia,Graves,Aatrox,Lucian
Win,Vladimir,Morgana,Kai'Sa,Rek'Sai,Fiora
Win,Graves,Darius,Lucian,Braum,Fiora
Win,Thresh,Camille,Irelia,Taliyah,Jhin
Win,Morgana,Nidalee,Jax,Lulu,Ezreal
Win,Lucian,Trundle,Nasus,Quinn,Graves
Win,Zoe,Miss Fortune,Graves,Thresh,Xin Zhao
Win,Zoe,Kai'Sa,Cho'Gath,Dr. Mundo,Ornn
Win,Soraka,Twisted Fate,Olaf,Caitlyn,Ornn
Win,Camille,Xin Zhao,Karma,Kai'Sa,LeBlanc
Win,Singed,Rakan,Master Yi,Taric,Thresh
Win,Ezreal,Ziggs,Warwick,Varus,Thresh
Win,Braum,Renekton,Taliyah,Irelia,Lucian
Win,Ezreal,Rakan,Aurelion Sol,Karthus,Taliyah
Win,Vi,Master Yi,Teemo,Ezreal,Cassiopeia
Win,Lucian,Renekton,Zoe,Olaf,Morgana
Win,Jax,Rakan,Zilean,Gnar,Kai'Sa
Win,Jayce,Aurelion Sol,Xin Zhao,Lulu,Kog'Maw
Win,Xin Zhao,Taliyah,Camille,Caitlyn,Ezreal
Win,Malzahar,Trundle,Zyra,Graves,Ezreal
Win,Graves,Vladimir,Rakan,Singed,Kog'Maw
Win,Lucian,Karma,Lulu,Nidalee,Varus
Win,Irelia,Morgana,Hecarim,Vladimir,Varus
Win,Corki,Braum,Malzahar,Morgana,Graves
