name,champ,cs,kda,kill,death,assist,winratio,play
GimGoon,Camille,CS 199.4 (7.8),3.40:1,5.3,3.2,5.5,66%,83
GimGoon,Singed,CS 188.0 (8.1),3.42:1,4.0,3.4,7.7,73%,64
GimGoon,Gangplank,CS 239.3 (8.4),3.53:1,4.5,3.5,7.9,64%,58
GimGoon,Vladimir,CS 222.2 (8.1),2.54:1,4.4,3.8,5.3,58%,36
GimGoon,Aurelion Sol,CS 198.8 (7.6),3.05:1,5.4,4.0,6.7,45%,29
GimGoon,Irelia,CS 208.0 (8.5),2.47:1,5.7,4.1,4.5,61%,28
GimGoon,Jax,CS 201.7 (8.3),2.23:1,4.4,3.5,3.3,58%,26
SKTT1ThaI,Gangplank,CS 235.5 (8.8),3.62:1,4.9,3.3,7.0,65%,85
SKTT1ThaI,Vladimir,CS 244.6 (8.7),2.39:1,5.2,4.2,5.0,54%,74
SKTT1ThaI,Ryze,CS 236.6 (8.8),2.14:1,3.9,4.4,5.5,59%,54
SKTT1ThaI,Darius,CS 211.1 (8.3),2.09:1,4.7,4.2,4.1,57%,46
SKTT1ThaI,Karma,CS 181.8 (7.3),2.92:1,2.6,3.4,7.3,56%,43
SKTT1ThaI,Camille,CS 185.2 (7.6),3.21:1,5.1,3.3,5.4,62%,37
SKTT1ThaI,Cassiopeia,CS 224.5 (8.5),2.41:1,4.5,4.2,5.6,59%,34
wkfgkrhtlvdj,Alistar,CS 46.3 (1.8),3.65:1,2.0,3.8,11.8,63%,233
wkfgkrhtlvdj,Tahm Kench,CS 57.6 (2.1),3.17:1,1.9,3.7,10.0,55%,134
wkfgkrhtlvdj,Rakan,CS 14.8 (0.6),3.74:1,2.0,3.6,11.3,58%,104
wkfgkrhtlvdj,Shen,CS 65.2 (2.4),3.33:1,2.4,4.2,11.5,50%,88
wkfgkrhtlvdj,Thresh,CS 28.8 (1.1),3.67:1,2.0,3.7,11.5,60%,73
wkfgkrhtlvdj,Braum,CS 60.6 (2.3),3.64:1,1.2,3.6,11.9,60%,62
wkfgkrhtlvdj,Taric,CS 52.8 (2.2),3.66:1,1.3,3.2,10.5,56%,43
하얼빈의쟝첸이야,Gragas,CS 28.0 (1.2),2.73:1,3.8,5.5,11.3,66%,93
하얼빈의쟝첸이야,Alistar,CS 29.5 (1.3),3.64:1,2.6,4.4,13.4,71%,77
하얼빈의쟝첸이야,Rakan,CS 14.6 (0.6),3.26:1,2.8,4.8,12.9,59%,58
하얼빈의쟝첸이야,Morgana,CS 14.9 (0.6),3.42:1,3.0,4.5,12.5,67%,46
하얼빈의쟝첸이야,Fiddlesticks,CS 30.4 (1.2),1.87:1,3.9,7.5,10.1,54%,35
하얼빈의쟝첸이야,Kha'Zix,CS 128.7 (5.1),2.73:1,8.3,5.2,6.0,61%,33
하얼빈의쟝첸이야,Xin Zhao,CS 123.1 (4.7),1.95:1,5.4,6.8,7.8,58%,26
댕체,Galio,CS 240.0 (9.2),3.72:1,5.0,3.6,8.2,60%,187
댕체,Irelia,CS 231.9 (9.6),3.24:1,7.7,3.8,4.6,62%,111
댕체,Ryze,CS 265.8 (10.2),2.61:1,4.7,3.6,4.8,52%,93
댕체,Yasuo,CS 234.2 (9.3),1.88:1,5.8,5.1,3.8,45%,92
댕체,Cassiopeia,CS 274.6 (10.0),2.97:1,5.6,3.4,4.6,59%,68
댕체,Vladimir,CS 240.7 (9.3),2.65:1,5.5,3.8,4.5,54%,59
댕체,Ekko,CS 239.5 (9.0),3.19:1,7.6,3.9,4.8,57%,58
학식먹을나이,Ezreal,CS 216.3 (8.6),3.42:1,5.9,4.0,7.8,63%,68
학식먹을나이,Kalista,CS 209.6 (8.8),3.21:1,5.4,3.8,6.9,72%,43
학식먹을나이,Kai'Sa,CS 206.8 (8.3),1.88:1,4.8,5.4,5.5,45%,33
학식먹을나이,Lucian,CS 239.9 (9.0),4.04:1,7.8,3.8,7.4,77%,26
학식먹을나이,Xayah,CS 204.8 (8.4),3.10:1,5.4,4.2,7.6,59%,17
학식먹을나이,Caitlyn,CS 255.8 (9.1),3.35:1,6.3,4.1,7.4,75%,16
학식먹을나이,Jhin,CS 198.5 (8.2),2.62:1,4.6,4.1,6.1,47%,15
