accountId,champId,avg_cs,avg_kda,avg_kill,avg_death,avg_assist,winratio,play_num
2915344,104,7.3,2.88,8.6,5.2,6.3,59,22
2915344,64,5.5,3.17,6.3,4.1,6.7,48,21
2915344,56,6.7,3.92,7.6,3.4,5.6,68,19
201236882,41,8.9,3.81,5,3.2,7.1,68,80
201236882,8,8.7,2.35,5.3,4.3,5,53,68
201236882,13,8.9,2.09,3.5,4.2,5.3,57,46
201236882,43,7.3,3.04,2.7,3.4,7.6,58,40
201236882,164,7.6,3.3,5.1,3.2,5.4,64,36
201236882,69,8.5,2.41,4.5,4.2,5.6,59,34
201236882,122,8.4,1.67,4.3,5,4,61,23
210515107,39,8.5,2.46,6.7,4.3,3.8,62,45
210515107,164,7.7,3.94,7.6,3.4,5.9,78,37
210515107,27,8,3.28,4.6,4.3,9.6,63,35
210515107,122,8,2.41,5.2,3.7,3.8,73,26
210515107,85,8,2.66,6.5,4.5,5.5,64,11
210515107,36,8.2,3.04,4.3,2.8,4.2,70,10
210515107,41,7.5,2.18,4,4.8,6.4,63,8
202103602,41,8.3,2.29,4,4.4,6.2,53,167
202103602,8,8.3,2,4.8,4.7,4.5,61,99
202103602,164,7.7,2.44,5.8,4.3,4.6,62,77
202103602,150,7.6,2.15,3.4,3.9,5.1,52,48
202103602,24,8.1,1.74,3.7,3.9,3,66,38
202103602,114,8.2,1.48,3.5,4.2,2.6,48,31
202103602,50,7.4,1.89,3.5,4.9,5.8,50,30
209157499,59,5.5,3.42,5.4,4.5,9.9,57,129
209157499,104,7.2,3.03,6.1,4,5.9,58,115
209157499,121,5.5,2.81,7.8,4.7,5.4,56,98
209157499,164,5.5,2.25,5.8,4.9,5.3,55,65
209157499,113,5.5,3.39,4,3.6,8.2,49,59
209157499,48,5.4,2.99,4.7,4.3,8,54,39
209157499,64,5.3,2.69,4.8,4.4,6.9,50,36
201386115,420,8.7,1.83,3.7,3.9,3.4,61,263
201386115,6,7,2.24,4.6,3.9,4.2,54,82
201386115,75,7.6,1.1,1.6,5.5,4.4,44,16
201386115,14,5.4,1.87,1.8,4.6,6.8,54,13
201386115,23,7.8,1.14,4.3,5.7,2.1,56,9
201386115,81,7.5,3.09,3.3,2.9,5.6,63,8
201386115,90,7.8,3,3.6,4.3,9.3,43,7
210581300,69,8.8,4.63,7.8,3,5.9,85,80
210581300,142,7.5,3.65,7.5,3.5,5.3,70,37
210581300,117,6.1,3.33,3.1,3.4,8.3,53,15
210581300,39,7.5,2.32,6.5,4.6,4.1,53,15
210581300,55,7,3.21,8,4.3,5.9,67,9
210581300,43,6.9,2.78,0.5,2.3,5.8,50,4
210581300,7,6,1.86,7.5,7,5.5,0,4
210574406,202,7.9,5.01,5.6,2.6,7.2,59,29
210574406,81,7.9,2.91,4.5,3.9,6.8,63,24
210574406,145,8.6,4,6.4,3.1,6.1,65,17
210574406,18,8.6,7.03,7.1,1.9,6.5,60,15
