name,champ,cs,kda,kill,death,assist,winratio,play
Beproudofme,Talon,CS 215.8 (8.4),3.09:1,7.1,4.2,5.8,57%,65
Beproudofme,Lulu,CS 193.3 (8.4),4.54:1,2.6,2.3,7.8,57%,51
Beproudofme,Soraka,CS 15.6 (0.6),2.92:1,1.1,4.6,12.3,57%,47
Beproudofme,Cassiopeia,CS 253.0 (9.2),3.12:1,5.6,3.4,5.0,54%,39
Beproudofme,Azir,CS 244.5 (9.1),3.14:1,4.8,3.4,5.8,61%,36
페이커뒷바라지,Xin Zhao,CS 129.7 (5.7),3.38:1,7.4,4.0,6.1,55%,38
페이커뒷바라지,Camille,CS 121.5 (5.5),3.55:1,8.7,3.9,5.2,69%,32
페이커뒷바라지,Kha'Zix,CS 147.8 (5.8),4.02:1,10.4,4.2,6.5,72%,25
페이커뒷바라지,Kayn,CS 159.8 (6.3),2.85:1,8.7,5.2,6.1,56%,25
페이커뒷바라지,Graves,CS 182.3 (7.3),2.88:1,8.6,5.2,6.3,59%,22
페이커뒷바라지,Lee Sin,CS 139.5 (5.5),3.17:1,6.3,4.1,6.7,48%,21
페이커뒷바라지,Nocturne,CS 152.1 (6.7),3.92:1,7.6,3.4,5.6,68%,19
SKTT1ThaI,Gangplank,CS 237.5 (8.9),3.81:1,5.0,3.2,7.1,68%,80
SKTT1ThaI,Vladimir,CS 249.5 (8.7),2.35:1,5.3,4.3,5.0,53%,68
SKTT1ThaI,Ryze,CS 236.6 (8.9),2.09:1,3.5,4.2,5.3,57%,46
SKTT1ThaI,Karma,CS 184.3 (7.3),3.04:1,2.7,3.4,7.6,58%,40
SKTT1ThaI,Camille,CS 183.1 (7.6),3.30:1,5.1,3.2,5.4,64%,36
SKTT1ThaI,Cassiopeia,CS 224.5 (8.5),2.41:1,4.5,4.2,5.6,59%,34
SKTT1ThaI,Darius,CS 222.6 (8.4),1.67:1,4.3,5.0,4.0,61%,23
MarkTime,Irelia,CS 193.0 (8.5),2.46:1,6.7,4.3,3.8,62%,45
MarkTime,Camille,CS 176.7 (7.7),3.94:1,7.6,3.4,5.9,78%,37
MarkTime,Singed,CS 202.3 (8.0),3.28:1,4.6,4.3,9.6,63%,35
MarkTime,Darius,CS 173.5 (8.0),2.41:1,5.2,3.7,3.8,73%,26
MarkTime,Kennen,CS 190.5 (8.0),2.66:1,6.5,4.5,5.5,64%,11
MarkTime,Dr. Mundo,CS 175.3 (8.2),3.04:1,4.3,2.8,4.2,70%,10
MarkTime,Gangplank,CS 182.8 (7.5),2.18:1,4.0,4.8,6.4,63%,8
이우진의개,Gangplank,CS 211.3 (8.3),2.29:1,4.0,4.4,6.2,53%,167
이우진의개,Vladimir,CS 215.7 (8.3),2.00:1,4.8,4.7,4.5,61%,99
이우진의개,Camille,CS 194.5 (7.7),2.44:1,5.8,4.3,4.6,62%,77
이우진의개,Gnar,CS 192.7 (7.6),2.15:1,3.4,3.9,5.1,52%,48
이우진의개,Jax,CS 198.9 (8.1),1.74:1,3.7,3.9,3.0,66%,38
이우진의개,Fiora,CS 196.1 (8.2),1.48:1,3.5,4.2,2.6,48%,31
이우진의개,Swain,CS 182.0 (7.4),1.89:1,3.5,4.9,5.8,50%,30
Nkachaiby,Jarvan IV,CS 147.7 (5.5),3.42:1,5.4,4.5,9.9,57%,129
Nkachaiby,Graves,CS 178.2 (7.2),3.03:1,6.1,4.0,5.9,58%,115
Nkachaiby,Kha'Zix,CS 148.2 (5.5),2.81:1,7.8,4.7,5.4,56%,98
Nkachaiby,Camille,CS 134.7 (5.5),2.25:1,5.8,4.9,5.3,55%,65
Nkachaiby,Sejuani,CS 138.6 (5.5),3.39:1,4.0,3.6,8.2,49%,59
Nkachaiby,Trundle,CS 141.7 (5.4),2.99:1,4.7,4.3,8.0,54%,39
Nkachaiby,Lee Sin,CS 131.3 (5.3),2.69:1,4.8,4.4,6.9,50%,36
1987Plls,Illaoi,CS 218.2 (8.7),1.83:1,3.7,3.9,3.4,61%,263
1987Plls,Urgot,CS 175.6 (7.0),2.24:1,4.6,3.9,4.2,54%,82
1987Plls,Nasus,CS 191.2 (7.6),1.10:1,1.6,5.5,4.4,44%,16
1987Plls,Sion,CS 143.1 (5.4),1.87:1,1.8,4.6,6.8,54%,13
1987Plls,Tryndamere,CS 180.6 (7.8),1.14:1,4.3,5.7,2.1,56%,9
1987Plls,Ezreal,CS 175.9 (7.5),3.09:1,3.3,2.9,5.6,63%,8
1987Plls,Malzahar,CS 221.1 (7.8),3.00:1,3.6,4.3,9.3,43%,7
qquad,Cassiopeia,CS 217.0 (8.8),4.63:1,7.8,3.0,5.9,85%,80
qquad,Zoe,CS 168.9 (7.5),3.65:1,7.5,3.5,5.3,70%,37
qquad,Lulu,CS 150.9 (6.1),3.33:1,3.1,3.4,8.3,53%,15
qquad,Irelia,CS 177.5 (7.5),2.32:1,6.5,4.6,4.1,53%,15
qquad,Katarina,CS 184.3 (7.0),3.21:1,8.0,4.3,5.9,67%,9
qquad,Karma,CS 125.0 (6.9),2.78:1,0.5,2.3,5.8,50%,4
qquad,LeBlanc,CS 169.0 (6.0),1.86:1,7.5,7.0,5.5,0%,4
pIeaseheIp,Jhin,CS 183.7 (7.9),5.01:1,5.6,2.6,7.2,59%,29
pIeaseheIp,Ezreal,CS 187.0 (7.9),2.91:1,4.5,3.9,6.8,63%,24
pIeaseheIp,Kai'Sa,CS 211.6 (8.6),4.00:1,6.4,3.1,6.1,65%,17
pIeaseheIp,Tristana,CS 223.5 (8.6),7.03:1,7.1,1.9,6.5,60%,15
pIeaseheIp,Caitlyn,CS 212.8 (8.2),3.37:1,6.5,3.8,6.3,53%,15
pIeaseheIp,Xayah,CS 231.9 (8.4),3.18:1,5.4,4.1,7.6,45%,11
pIeaseheIp,Talon,CS 173.4 (7.4),2.40:1,5.5,4.7,5.8,60%,10
KDMLuBu,Kha'Zix,CS 133.2 (5.3),4.42:1,7.6,2.9,5.1,67%,109
KDMLuBu,Camille,CS 148.1 (5.8),3.30:1,5.7,3.6,6.0,57%,65
KDMLuBu,Sejuani,CS 147.4 (5.3),5.69:1,4.0,2.7,11.2,63%,56
KDMLuBu,Zac,CS 131.9 (5.1),5.58:1,3.4,2.2,8.7,47%,47
KDMLuBu,Skarner,CS 139.9 (5.4),4.54:1,3.1,2.8,9.5,57%,35
KDMLuBu,Olaf,CS 149.0 (5.5),3.94:1,5.8,3.4,7.7,53%,34
KDMLuBu,Rengar,CS 163.0 (6.0),3.19:1,7.1,3.6,4.4,39%,31
귤수호자만기,Gangplank,CS 227.1 (8.5),3.96:1,4.7,2.9,6.8,69%,134
귤수호자만기,Sion,CS 200.3 (7.4),3.72:1,3.0,2.8,7.4,55%,85
귤수호자만기,Ornn,CS 203.5 (7.2),2.86:1,2.8,3.4,7.0,44%,62
귤수호자만기,Urgot,CS 184.0 (7.6),2.55:1,3.9,3.1,4.0,70%,10
귤수호자만기,Dr. Mundo,CS 173.1 (7.2),2.46:1,4.1,3.5,4.5,38%,8
